rosbagTimestamp,x,y,z
1540580418172702200,-117.54750061,-23.9255332947,4.98480653763
1540580418217228628,-117.320968628,-24.1715660095,4.8872756958
1540580418258090039,-117.073059082,-24.4216938019,4.85774278641
1540580418300707548,-116.862419128,-24.5373725891,4.9582824707
1540580418345239742,-116.724388123,-24.6329174042,5.08554029465
1540580418385041872,-116.626243591,-24.7754211426,5.16571760178
1540580418430049264,-116.569480896,-24.8543930054,5.25003004074
1540580418471152911,-116.477272034,-24.884935379,5.4180727005
1540580418512251902,-116.341453552,-24.919549942,5.51460838318
1540580418557193701,-116.181472778,-25.0476493835,5.55017566681
1540580418597993769,-116.085845947,-25.1978092194,5.54866409302
1540580418640261497,-116.028808594,-25.2694606781,5.60454416275
1540580418684128852,-115.997871399,-25.3005428314,5.72425746918
1540580418725498204,-115.824653625,-25.2727050781,5.77549505234
1540580418766193930,-115.494094849,-25.1517086029,5.56539535522
1540580418811094075,-114.913215637,-24.9068984985,5.04183244705
1540580418852065287,-114.074462891,-24.4725246429,4.08588027954
1540580418897749768,-113.029472351,-23.8298416138,2.70153188705
1540580418938454049,-111.517028809,-22.7450714111,0.389592766762
1540580418980031649,-110.28553772,-21.7710514069,-1.82413733006
1540580419024089988,-109.178977966,-21.0369682312,-3.96347689629
1540580419065734394,-108.122077942,-20.7229824066,-6.17676401138
1540580419106036881,-106.697769165,-20.9399299622,-8.79457473755
1540580419150928592,-105.465744019,-21.6916313171,-10.0319929123
1540580419191858368,-104.419815063,-22.0150432587,-11.2230243683
1540580419237310274,-103.693077087,-21.6168041229,-12.1061210632
1540580419282036857,-103.309310913,-20.743768692,-11.7645254135
1540580419323191057,-103.124916077,-20.0461177826,-11.3800477982
1540580419363897816,-103.021156311,-19.6708850861,-11.3572683334
1540580419409607036,-102.966743469,-19.6864891052,-11.5272750854
1540580419450242588,-103.048362732,-18.9788722992,-11.3443746567
1540580419491086990,-103.377357483,-17.9726371765,-10.9028301239
1540580419535825042,-103.819801331,-17.7046375275,-10.2678585052
1540580419576954934,-104.274269104,-17.5462398529,-9.9356212616
1540580419617961649,-104.829833984,-17.5411949158,-9.52629375458
1540580419662949129,-105.177307129,-17.4301643372,-9.27712345123
1540580419703768945,-105.520454407,-17.1240673065,-9.16430473328
1540580419749349332,-105.804840088,-16.8639011383,-9.09181976318
1540580419790211959,-106.078788757,-16.7045955658,-9.09049224854
1540580419830958875,-106.445404053,-16.4762363434,-9.14211845398
