rosbagTimestamp,layout,dim,data_offset,data
1540323509999939862,,[],0,"[270.619384765625, 190.0, 97.942626953125, 6.0, 18.0, 357.67926025390625, 0.0, 0.0, 0.0, 0.0]"
1540323510050384411,,[],0,"[270.6356506347656, 190.0, 98.07648468017578, 6.0, 18.0, 359.54583740234375, 0.0, 0.0, 0.0, 0.0]"
1540323510100012051,,[],0,"[270.66156005859375, 190.0, 98.03254699707031, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510150389062,,[],0,"[270.67034912109375, 190.0, 97.92909240722656, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510200287405,,[],0,"[270.675537109375, 190.0, 97.84517669677734, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510250239158,,[],0,"[270.66754150390625, 190.0, 97.66317749023438, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510300235577,,[],0,"[270.655517578125, 190.0, 97.59043884277344, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510350125640,,[],0,"[270.63604736328125, 190.0, 97.46173095703125, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510400173198,,[],0,"[270.63604736328125, 190.0, 97.39251708984375, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510450146070,,[],0,"[270.65252685546875, 190.0, 97.31747436523438, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510500223022,,[],0,"[270.66455078125, 190.0, 97.1402587890625, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510550105824,,[],0,"[270.675048828125, 190.0, 97.11744689941406, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510599871488,,[],0,"[270.6760559082031, 190.0, 97.16828918457031, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510650425967,,[],0,"[270.6761779785156, 190.0, 97.15930938720703, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510700322192,,[],0,"[270.6761779785156, 190.0, 97.15782165527344, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510750000123,,[],0,"[270.6763000488281, 190.0, 97.16914367675781, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510799893744,,[],0,"[270.71490478515625, 190.0, 97.04910278320312, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510850304028,,[],0,"[270.7406311035156, 190.0, 96.50218963623047, 6.0, 18.0, 360.0, 0.0, 0.0, 0.0, 0.0]"
1540323510900032448,,[],0,"[270.8227844238281, 190.0, 96.03962707519531, 6.0, 18.0, 354.99322509765625, 0.0, 0.0, 0.0, 0.0]"
1540323510950812331,,[],0,"[270.84942626953125, 190.0, 94.36170959472656, 6.0, 18.0, 336.154052734375, 0.0, 0.0, 0.0, 0.0]"
1540323511000281077,,[],0,"[270.87652587890625, 190.0, 93.80445861816406, 6.0, 18.0, 320.7098693847656, 0.0, 0.0, 0.0, 0.0]"
1540323511050056016,,[],0,"[270.92034912109375, 190.0, 92.92234802246094, 6.0, 18.0, 294.21728515625, 0.0, 0.0, 0.0, 0.0]"
1540323511099905028,,[],0,"[270.9171142578125, 190.0, 92.13560485839844, 6.0, 18.0, 285.4162292480469, 0.0, 0.0, 0.0, 0.0]"
1540323511149931811,,[],0,"[270.8874206542969, 190.0, 91.60862731933594, 6.0, 18.0, 272.562744140625, 0.0, 0.0, 0.0, 0.0]"
1540323511201019093,,[],0,"[270.8701171875, 190.0, 90.68472290039062, 6.0, 18.0, 252.56517028808594, 0.0, 0.0, 0.0, 0.0]"
1540323511249982318,,[],0,"[270.83221435546875, 190.0, 90.72042846679688, 6.0, 18.0, 241.39230346679688, 0.0, 0.0, 0.0, 0.0]"
1540323511300220841,,[],0,"[270.818603515625, 190.0, 90.51927185058594, 6.0, 18.0, 230.0, 0.0, 0.0, 0.0, 0.0]"
1540323511350128498,,[],0,"[270.82525634765625, 190.02574157714844, 90.43907928466797, 6.0, 18.0, 230.0, 0.0, 0.0, 0.0, 0.0]"
1540323511400117197,,[],0,"[270.8619384765625, 190.0610809326172, 90.52041625976562, 6.0, 18.0, 230.0, 0.0, 0.0, 0.0, 0.0]"
1540323511449850190,,[],0,"[270.8862609863281, 190.06466674804688, 90.44947814941406, 6.0, 18.0, 230.0, 0.0, 0.0, 0.0, 0.0]"
1540323511499964273,,[],0,"[270.9158935546875, 190.02943420410156, 90.22886657714844, 6.0, 18.0, 230.0, 0.0, 0.0, 0.0, 0.0]"
1540323511550154701,,[],0,"[270.94293212890625, 190.00071716308594, 89.99256134033203, 6.0, 18.0, 230.0, 0.0, 0.0, 0.0, 0.0]"
1540323511600590175,,[],0,"[270.9590148925781, 190.0, 89.92257690429688, 6.0, 18.0, 230.0, 0.0, 0.0, 0.0, 0.0]"
1540323511650592700,,[],0,"[270.98211669921875, 190.0, 89.98123168945312, 6.0, 18.0, 230.0, 0.0, 0.0, 0.0, 0.0]"
1540323511699780872,,[],0,"[270.969970703125, 190.0, 90.40328979492188, 6.0, 18.0, 230.0, 0.0, 0.0, 0.0, 0.0]"
