Haptic Middle ,,,Haptic Thumb,,,Haptic Pointer,,,Object Placed,
rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data
1.58250319002248E+018,1043,,1.58250319001865E+018,-39,,1.58250319002072E+018,812,,1.58250319900836E+018,0
1.5825031900465E+018,1037,,1.58250319004229E+018,-36,,1.58250319004441E+018,811,,1.58250319910821E+018,0
1.58250319006879E+018,1044,,1.58250319006514E+018,-41,,1.58250319006688E+018,813,,1.5825031992082E+018,0
1.58250319009173E+018,1052,,1.58250319008799E+018,-38,,1.58250319008978E+018,801,,1.58250319930806E+018,0
1.58250319011354E+018,1038,,1.58250319011021E+018,-42,,1.58250319011191E+018,805,,1.58250319940875E+018,0
1.58250319013778E+018,1038,,1.58250319013328E+018,-37,,1.58250319013774E+018,814,,1.58250319950805E+018,0
1.58250319016008E+018,1035,,1.58250319015627E+018,-44,,1.58250319015826E+018,816,,1.5825031996087E+018,0
1.58250319018242E+018,1035,,1.58250319017865E+018,-40,,1.58250319018039E+018,815,,1.58250319970815E+018,0
1.58250319020454E+018,1039,,1.58250319020097E+018,-40,,1.58250319020273E+018,804,,1.58250319980824E+018,0
1.58250319022996E+018,1023,,1.58250319022444E+018,-40,,1.58250319022591E+018,809,,1.5825031999082E+018,0
1.58250319025153E+018,1051,,1.58250319024765E+018,-37,,1.58250319024938E+018,809,,1.58250320000812E+018,0
1.58250319027353E+018,1035,,1.58250319026918E+018,-36,,1.5825031902712E+018,813,,1.58250320010868E+018,0
1.58250319029682E+018,1027,,1.5825031902927E+018,-35,,1.58250319029469E+018,808,,1.58250320020838E+018,0
1.58250319031877E+018,1035,,1.58250319031486E+018,-37,,1.58250319031684E+018,805,,1.58250320030866E+018,0
1.58250319034217E+018,1043,,1.58250319033844E+018,-37,,1.58250319034033E+018,811,,1.58250320040901E+018,0
1.58250319036521E+018,1050,,1.58250319036098E+018,-37,,1.58250319036301E+018,812,,1.5825032005082E+018,0
1.58250319038731E+018,1042,,1.58250319038332E+018,-40,,1.58250319038574E+018,808,,1.58250320060837E+018,0
1.58250319041002E+018,1062,,1.58250319040622E+018,-42,,1.58250319040804E+018,815,,1.58250320070829E+018,0
1.58250319043344E+018,1052,,1.58250319042947E+018,-35,,1.58250319043155E+018,816,,1.58250320080802E+018,0
1.58250319045748E+018,1044,,1.58250319045332E+018,-43,,1.5825031904554E+018,814,,1.5825032009084E+018,0
1.58250319047878E+018,1048,,1.58250319047477E+018,-44,,1.582503190477E+018,809,,1.58250320100824E+018,0
1.58250319050056E+018,1048,,1.58250319049664E+018,-36,,1.58250319049854E+018,821,,1.58250320110813E+018,0
1.58250319052373E+018,1041,,1.58250319051968E+018,-37,,1.58250319052179E+018,810,,1.58250320120857E+018,0
